Name,Drug,Description
Cyclophosphamide,DB00860,"Cyclophosphamide (DrugBank ID DB00860) is a synthetic nitrogen mustard alkylating agent characterized by a bifunctional chemical structure consisting of a cyclic phosphamide ester ring linked to a bis(2-chloroethyl)amine group, which serves as its pharmacologically active moiety; chemically, it is categorized as an oxazaphosphorine, specifically a 1,3,2-oxazaphosphinan-2-amine derivative, built upon a phosphoramide mustard scaffold that enables its DNA-crosslinking activity. It shares structural and mechanistic similarities with other alkylating agents such as ifosfamide, bendamustine, and melphalan, which also contain reactive chloroethyl groups that facilitate covalent DNA adduct formation. Pharmacokinetically, cyclophosphamide is well-absorbed orally with bioavailability exceeding 75%, widely distributed throughout body water (volume of distribution ~0.6 L/kg), and extensively metabolized primarily in the liver via cytochrome P450 enzymes (CYP2B6, CYP2C9, CYP3A4) to form its active metabolites 4-hydroxycyclophosphamide and aldophosphamide, which are then further converted to the cytotoxic phosphoramide mustard and acrolein; its elimination is predominantly renal, with approximately 10-20% excreted unchanged in urine and the remainder as metabolites over 24-48 hours. Its toxicity profile includes dose-dependent myelosuppression (neutropenia, thrombocytopenia), hemorrhagic cystitis (primarily due to acrolein accumulation in the bladder), cardiotoxicity (e.g., cardiomyopathy at high doses), gonadal toxicity (infertility), and increased risk of secondary malignancies such as leukemia or bladder cancer with prolonged use. The drug exerts its therapeutic effects by targeting DNA through covalent alkylation, forming interstrand crosslinks that disrupt replication and transcription, though it does not bind to a specific protein receptor; its activation-dependent mechanism involves enzymatic conversion to reactive intermediates that alkylate nucleophilic sites on DNA bases. Clinically, it is indicated for a broad range of conditions including various malignancies (e.g., non-Hodgkin lymphoma, breast cancer, ovarian cancer, and pediatric neuroblastoma) and autoimmune disorders (e.g., severe systemic lupus erythematosus, rheumatoid arthritis, and vasculitis like granulomatosis with polyangiitis). Common side effects encompass nausea, vomiting, alopecia, mucositis, immunosuppression leading to infections, and the aforementioned hemorrh"
Doxorubicin,DB01234,"Doxorubicin (DrugBank ID DB01234) is an anthracycline glycoside antibiotic chemotherapeutic agent characterized by a planar, tetracyclic anthraquinone chromophore fused to a sugar moiety, daunosamine, via a glycosidic bond; the aglycone core consists of a naphthacenedione ring system substituted with hydroxyl groups at positions 9 and 10, a methoxy group at position 4, and a short side chain terminating in a primary alcohol at position 13. It belongs to the chemical category of anthracycline antibiotics and is built upon the anthracycline scaffold, which is central to its DNA-intercalating properties. Structurally similar drugs within the same class include daunorubicin, epirubicin, and idarubicin, which share the core anthracycline structure but differ in side-chain modifications. Pharmacokinetically, doxorubicin is poorly absorbed orally and is administered intravenously; it exhibits extensive tissue distribution with a large volume of distribution, high plasma protein binding (primarily to albumin), and significant concentration in tissues such as the heart, liver, and kidneys. It undergoes extensive hepatic metabolism primarily via carbonyl reduction to its active metabolite doxorubicinol and via deglycosylation and conjugation pathways, involving enzymes like carbonyl reductases and CYP450 isoforms, and is excreted predominantly in bile and feces, with minimal renal excretion. Its toxicity profile is notable for cumulative, dose-dependent cardiotoxicity (e.g., cardiomyopathy and congestive heart failure), myelosuppression (neutropenia and thrombocytopenia), and severe local tissue necrosis upon extravasation. The primary molecular targets of doxorubicin include topoisomerase II-alpha, which it inhibits by stabilizing the DNA-topoisomerase II cleavage complex, leading to DNA double-strand breaks, and it also intercalates into DNA base pairs and generates reactive oxygen species, contributing to its cytotoxic effects. It is indicated for the treatment of a wide range of malignancies, including but not limited to breast cancer, Hodgkin's and non-Hodgkin's lymphomas, acute leukemias, soft tissue and bone sarcomas, and ovarian and bladder cancers. Common side effects encompass alopecia, nausea and vomiting, mucositis, fatigue, and the aforementioned hematological and cardiac toxicities. Clinically, doxorubicin is used as a cornerstone agent in various combination chemotherapy regimens, such as CHOP for lymphomas, ABVD for"
Fludarabine,DB00959,"Fludarabine (DrugBank ID DB00959) is a purine nucleoside analog antimetabolite chemotherapeutic agent, characterized by its chemical structure which is a fluorinated derivative of the antiviral drug vidarabine, specifically 9-β-D-arabinofuranosyl-2-fluoroadenine, where a fluorine atom replaces the hydroxyl group at the 2' position of the adenine base, enhancing its stability and cytotoxic potency. It belongs to the chemical category of purine analogs and nucleoside antimetabolites, built upon a purine scaffold—a fused pyrimidine and imidazole ring system—modified with an arabinofuranosyl sugar moiety. Known similar drugs within its class include cladribine and pentostatin, which are also purine analogs used in hematologic malignancies, as well as cytarabine, a pyrimidine nucleoside analog with a related mechanism of action. Pharmacokinetically, fludarabine phosphate, its prodrug, is rapidly dephosphorylated in plasma to the active metabolite 2-fluoro-ara-A (fludarabine), which exhibits variable oral absorption (approximately 55-60% bioavailability) and is widely distributed throughout the body, including into cerebrospinal fluid; it undergoes intracellular phosphorylation to the active triphosphate form, with minimal hepatic metabolism, and is primarily excreted renally (about 40-60% unchanged in urine), necessitating dose adjustment in renal impairment. Toxicity is significant, with examples including severe myelosuppression (neutropenia, thrombocytopenia), immunosuppression leading to opportunistic infections, and neurotoxicity (e.g., delayed progressive encephalopathy, blindness, and coma at high doses), as well as potential for autoimmune hemolytic anemia and pulmonary toxicity. Its primary target protein is DNA polymerase, where the triphosphate metabolite incorporates into DNA, inhibiting chain elongation and repair, and it also targets ribonucleotide reductase, depleting deoxynucleotide pools and further disrupting DNA synthesis. The drug is indicated for the treatment of B-cell chronic lymphocytic leukemia (CLL), particularly in patients who have not responded to or relapsed after standard alkylating agent therapy, and it is also used in conditioning regimens for hematopoietic stem cell transplantation. Common side effects include fever, fatigue, nausea, vomiting, diarrhea, and edema, with more severe effects such as tumor lysis syndrome, severe infections (e.g., pneumonia, sepsis), and rare but serious neurological events."
Imatinib,DB00443,"Imatinib, a phenylaminopyrimidine derivative (DrugBank ID DB00443), is a synthetic small molecule inhibitor characterized by a central pyrimidine ring flanked by a phenylamino group and a methylpiperazine moiety, forming a 4-[(4-methyl-1-piperazinyl)methyl]-N-[4-methyl-3-[[4-(3-pyridinyl)-2-pyrimidinyl]amino]phenyl]benzamide structure that is crucial for its ATP-competitive binding. It belongs to the chemical category of protein kinase inhibitors and is built upon a 2-phenylaminopyrimidine scaffold, a common framework shared with similar tyrosine kinase inhibitors such as nilotinib (a more potent and selective BCR-ABL inhibitor) and dasatinib (a dual SRC/ABL inhibitor). Pharmacokinetically, imatinib is well-absorbed orally with approximately 98% bioavailability, extensively distributed with a volume of distribution of 435 L, and is predominantly metabolized in the liver via cytochrome P450 enzymes (primarily CYP3A4 and CYP3A5) to an active N-desmethyl metabolite; it is excreted mainly in feces (68%) as metabolites, with a minor renal elimination component (13%). Its toxicity profile includes hepatotoxicity (elevated liver enzymes), severe fluid retention (pleural effusion, pericardial effusion, pulmonary edema), myelosuppression (neutropenia, thrombocytopenia), and potential cardiotoxicity (congestive heart failure). The primary target proteins of imatinib are the BCR-ABL tyrosine kinase (the oncogenic driver in chronic myeloid leukemia, CML), as well as platelet-derived growth factor receptors (PDGFR-α and PDGFR-β) and the stem cell factor receptor (c-KIT). It is indicated for the treatment of Philadelphia chromosome-positive (Ph+) CML in all phases (chronic, accelerated, blast crisis), Ph+ acute lymphoblastic leukemia (ALL), gastrointestinal stromal tumors (GISTs) expressing c-KIT, and other rare conditions like hypereosinophilic syndrome and dermatofibrosarcoma protuberans. Common side effects encompass nausea, vomiting, diarrhea, muscle cramps, periorbital edema, rash, and fatigue. Clinically, imatinib revolutionized the management of CML as a first-line targeted therapy, achieving high rates of cytogenetic and molecular responses, and it is also used as adjuvant therapy"
Methotrexate,DB00741,"Methotrexate (DrugBank ID DB00741) is a classical antifolate chemotherapeutic agent and disease-modifying antirheumatic drug (DMARD) whose chemical structure is characterized as a 4-amino-10-methyl derivative of folic acid, featuring a pteridine ring linked to a *para*-aminobenzoic acid (PABA) moiety which is, in turn, connected to a glutamate residue; this places it in the chemical category of aminopterin analogs and defines its core scaffold as a **glutamated pteridine**. Its mechanism is similar to other antifolates like **pemetrexed** (which has a pyrrolopyrimidine core) and **pralatrexate** (a 10-deazaaminopterin analog), all targeting folate metabolism. Pharmacokinetically, methotrexate is variably absorbed orally (dose-dependent, with bioavailability decreasing at higher doses), exhibits extensive distribution with approximately 50% plasma protein binding (primarily to albumin), and demonstrates a triphasic elimination: it is minimally metabolized by hepatic aldehyde oxidase to 7-hydroxymethotrexate, but its primary mode of action involves intracellular polyglutamation by folylpolyglutamate synthetase, which retains the active form; excretion is predominantly renal (80-90% unchanged via glomerular filtration and active tubular secretion), necessitating dose adjustment in renal impairment. Its toxicity is significant and dose-dependent, manifesting as **myelosuppression** (leading to leukopenia, thrombocytopenia), **mucositis**, **hepatotoxicity** (elevated transaminases, fibrosis with long-term use), and **pulmonary toxicity** (interstitial pneumonitis). The primary target protein is **dihydrofolate reductase (DHFR)**, which it inhibits with high affinity, depleting tetrahydrofolate pools and thereby impairing DNA, RNA, and protein synthesis; it also inhibits enzymes like **thymidylate synthase** and **aminoimidazole carboxamide ribonucleotide (AICAR) transformylase**, contributing to anti-inflammatory effects. Its indications are broad, including **neoplastic diseases** (e.g., acute lymphoblastic leukemia, breast cancer, choriocarcinoma), **autoimmune conditions** (e.g., rheumatoid arthritis, psoriasis, psoriatic arthritis), and **medical abortion** (in combination with misoprostol). Common side effects beyond its toxic"
Tamoxifen,DB00620,"Tamoxifen (DrugBank ID: DB00620) is a nonsteroidal selective estrogen receptor modulator (SERM) characterized by a triphenylethylene chemical scaffold, which consists of a central ethylene linker substituted with two phenyl rings and one para-substituted phenyl ring bearing a dimethylaminoethoxy side chain, placing it in the chemical category of a substituted stilbene derivative; its structural similarity to diethylstilbestrol links it to other SERMs like raloxifene and toremifene. Pharmacokinetically, it is well-absorbed orally, undergoes extensive hepatic metabolism primarily via cytochrome P450 enzymes CYP2D6 and CYP3A4 into active metabolites such as endoxifen, exhibits high volume of distribution with extensive tissue binding, and is eliminated slowly via feces with a long terminal half-life of 5-7 days. While generally well-tolerated, its toxicity profile includes rare but serious risks such as endometrial cancer and thromboembolic events, alongside dose-dependent hepatotoxicity. The primary target protein is the estrogen receptor (ER), where it acts as a competitive antagonist in breast tissue. It is indicated primarily for the treatment and prevention of hormone receptor-positive breast cancer in both premenopausal and postmenopausal women, and is also used in male breast cancer and for ovulation induction in infertility. Common side effects encompass hot flashes, vaginal discharge, menstrual irregularities, and nausea. Clinically, it is used as adjuvant therapy following surgery for early-stage breast cancer, as a chemopreventive agent in high-risk individuals, and in the management of ductal carcinoma in situ, with its long-term administration (typically 5-10 years) being a cornerstone of endocrine therapy strategies."
Cladribine,DB00635,"Cladribine (DrugBank ID DB00635) is a synthetic purine nucleoside analog characterized by a chlorinated adenine base (2-chloroadenine) linked via a β-glycosidic bond to a 2-deoxyribose sugar, where the hydroxyl group at the 2' position is replaced by a hydrogen atom, rendering it resistant to deamination by adenosine deaminase. Chemically, it is categorized as an antimetabolite and specifically a purine nucleoside analog, built upon a deoxyadenosine scaffold modified with chlorine at the 2-position of the purine ring. Similar drugs in its class include other purine analogs used in hematologic malignancies, such as fludarabine (a fluorinated analog) and pentostatin (an adenosine deaminase inhibitor). Pharmacokinetically, cladribine is well-absorbed orally in its prodrug form (e.g., cladribine tablets) and achieves high bioavailability; it distributes widely throughout the body, crossing the blood-brain barrier, and is primarily activated intracellularly by phosphorylation to its active triphosphate form (2-CdATP), with minimal hepatic metabolism via cytochrome P450 enzymes, and is predominantly excreted renally as unchanged drug. Its toxicity profile includes significant myelosuppression (e.g., neutropenia, anemia, thrombocytopenia), immunosuppression leading to increased infection risk (e.g., opportunistic infections like herpes zoster), and potential neurotoxicity with high doses. The primary molecular targets of cladribine are enzymes involved in DNA synthesis and repair; it incorporates into DNA, inhibiting DNA polymerases and ribonucleotide reductase, and induces apoptosis, particularly in lymphocytes. It is indicated for the treatment of active relapsing-remitting multiple sclerosis (RRMS) to reduce clinical relapses and delay disability progression, and historically for hairy cell leukemia (HCL), a rare B-cell malignancy. Common side effects beyond myelosuppression include headache, fatigue, nausea, and lymphopenia, with serious risks of progressive multifocal leukoencephalopathy (PML) and hepatotoxicity. Clinically, it is used as a disease-modifying therapy for RRMS, typically administered as two short oral treatment courses one year apart (due to its long-lasting lymphodepletive effects), and as an intravenous or subcutaneous chemotherapeutic agent for HCL, often inducing durable remissions with a single cycle."
Cytarabine,DB01380,"Cytarabine (DrugBank ID DB01380) is a synthetic pyrimidine nucleoside analog, specifically categorized as an antimetabolite chemotherapeutic agent, whose chemical structure consists of a cytosine base linked via a β-glycosidic bond to arabinose, a sugar moiety that differs from the natural deoxyribose by the stereochemical inversion of the 2'-hydroxyl group to the ""up"" position, forming a key structural scaffold known as an arabinosyl nucleoside. This scaffold is shared by similar antimetabolite drugs such as gemcitabine (which features a difluorinated cytosine and a modified sugar) and fludarabine (a purine arabinoside analog). Pharmacokinetically, cytarabine demonstrates poor oral bioavailability due to extensive first-pass metabolism, necessitating intravenous or subcutaneous administration; it distributes widely, crossing the blood-brain barrier to achieve therapeutic concentrations in cerebrospinal fluid, and is primarily metabolized by deamination via cytidine deaminase in the liver, kidneys, and granulocytes to the inactive uracil derivative ara-U, with approximately 80% of a dose excreted renally within 24 hours. Its toxicity profile is severe, with dose-limiting myelosuppression (neutropenia, thrombocytopenia) being most common, and high-dose regimens can cause cerebellar toxicity, conjunctivitis, and a potentially fatal ""cytarabine syndrome"" of fever, myalgia, and rash. The primary mechanism of action involves intracellular conversion to its active triphosphate form (ara-CTP), which competitively inhibits DNA polymerase alpha and is incorporated into DNA, leading to chain termination; key target proteins thus include DNA polymerases and enzymes involved in nucleotide metabolism. It is indicated primarily for the treatment of acute myeloid leukemia (AML), acute lymphoblastic leukemia (ALL), and lymphomatous meningitis, often used in combination regimens such as ""7+3"" with an anthracycline. Side effects beyond myelosuppression include nausea, vomiting, mucositis, hepatotoxicity, and neurotoxicity with high doses. Clinically, it is employed in induction, consolidation, and maintenance therapy for leukemias, and via intrathecal administration for prophylaxis or treatment of central nervous system involvement."
Mercaptopurine,DB00618,"Mercaptopurine (DrugBank ID DB00618) is an antimetabolite chemotherapeutic agent belonging to the chemical category of purine analogues, specifically a thiopurine, characterized by a purine chemical scaffold where a sulfur atom replaces the oxygen at the 6-position of the purine ring, resulting in a structure of 7H-purine-6-thiol. Its chemical scaffold is closely related to the endogenous purines hypoxanthine and adenine, and it shares significant structural similarity with other thiopurine drugs such as azathioprine (a prodrug that converts to mercaptopurine) and thioguanine. The pharmacokinetics of mercaptopurine involve variable oral absorption (approximately 50% bioavailability) with extensive first-pass metabolism, widespread distribution without significant binding to plasma proteins, and complex metabolism primarily via three competing enzymatic pathways: methylation by thiopurine methyltransferase (TPMT) to inactive methylmercaptopurine, oxidation by xanthine oxidase to inactive thiouric acid, and anabolism by hypoxanthine-guanine phosphoribosyltransferase (HGPRT) into active cytotoxic thioguanine nucleotides (TGNs) that incorporate into DNA and RNA; excretion occurs mainly renally as metabolites. Its toxicity is significant and includes dose-dependent myelosuppression (neutropenia, thrombocytopenia) and severe hepatotoxicity (cholestasis, hepatic necrosis), with life-threatening toxicity occurring in patients with genetic deficiency in TPMT activity due to excessive accumulation of active TGNs. The primary target proteins for its active metabolites are enzymes involved in purine synthesis and repair, such as inosine monophosphate dehydrogenase (IMPDH) and ribonucleotide reductase, while the incorporated TGNs in DNA also interact with various DNA processing enzymes. It is indicated primarily for the maintenance therapy of acute lymphoblastic leukemia (ALL) in both children and adults, and it is also used in the treatment of inflammatory bowel diseases like Crohn's disease and ulcerative colitis. Common side effects, besides myelosuppression and hepatotoxicity, include nausea, vomiting, anorexia, mucositis, and an increased risk of infections; long-term use is associated with a heightened risk of secondary malignancies, particularly myelodysplastic syndrome and acute myeloid leukemia. Clinically, it is used as a cornerstone maintenance agent in multi-agent ALL protocols (e.g., as part of the Berlin-Frankfurt-Münster regimen"
Rituximab,DB00773,"Rituximab (DrugBank ID DB00773) is a chimeric monoclonal antibody composed of murine variable regions (Fab) and human constant regions (Fc), creating an immunoglobulin G1 kappa (IgG1κ) structure with a molecular weight of approximately 145 kDa, where its specificity is conferred by complementarity-determining regions (CDR) that bind the CD20 antigen. Chemically, it is categorized as a biologic drug, specifically a monoclonal antibody, and its scaffold is based on the canonical immunoglobulin G (IgG) framework common to therapeutic antibodies. Similar drugs targeting CD20 include other monoclonal antibodies such as the humanized **obinutuzumab** and the fully human **ofatumumab**, as well as the radioimmunoconjugate **ibritumomab tiuxetan**. Pharmacokinetically, rituximab is administered intravenously, leading to complete bioavailability; its distribution is primarily within the vascular compartment and lymphoid tissues, with a volume of distribution at steady-state of approximately 3.1 L; it is metabolized via proteolytic degradation throughout the reticuloendothelial system, with no major hepatic cytochrome P450 involvement; and its elimination occurs through both target-mediated and non-specific pathways, with a half-life that varies from 18 to 76 days depending on dose and disease burden. Toxicity can be significant, exemplified by severe infusion reactions (e.g., cytokine release syndrome), progressive multifocal leukoencephalopathy (PML) due to JC virus reactivation, and late-onset neutropenia. The primary target protein is the CD20 antigen, a transmembrane protein expressed on the surface of pre-B and mature B lymphocytes. Rituximab is indicated for a range of B-cell disorders, including specific examples such as non-Hodgkin's lymphoma (e.g., diffuse large B-cell lymphoma), chronic lymphocytic leukemia (CLL), rheumatoid arthritis (in combination with methotrexate), granulomatosis with polyangiitis, and microscopic polyangiitis. Common side effects include fever, chills, nausea, fatigue, and increased risk of infections (e.g., bacterial sepsis or viral reactivation), while more serious adverse events can include severe mucocutaneous reactions and cardiac arrhythmias. Clinically, it is used as a single agent or in combination regimens (e.g., R-CHOP for lymphoma), with specific examples encompassing induction and maintenance therapy for follicular lymphoma, treatment of refractory rheumatoid arthritis, and induction of"
