Name,Disease,Description
"Nephritis, Hereditary",D009394,"Hereditary nephritis, also known as Alport syndrome, is a progressive renal disease primarily associated with mutations in the COL4A3, COL4A4, and COL4A5 genes, which encode for type IV collagen, a crucial component of the glomerular basement membrane (GBM). These mutations disrupt the normal structure and function of the GBM, leading to impaired filtration and subsequent kidney damage. The disease is linked to the TGF-β signaling pathway, where dysregulation of this pathway contributes to fibrosis and further renal deterioration. Commonly used drugs for the management of hereditary nephritis include angiotensin-converting enzyme (ACE) inhibitors like lisinopril, which reduce intraglomerular pressure; angiotensin receptor blockers (ARBs) such as losartan, which block the effects of angiotensin II; and corticosteroids, which help manage inflammation and proteinuria. Hereditary nephritis is often complicated by sensorineural hearing loss and ocular abnormalities, such as anterior lenticonus and macular flecks. Clinically, patients present with hematuria, proteinuria, and, in advanced stages, end-stage renal disease (ESRD). The disease can be classified into three types: X-linked, autosomal recessive, and autosomal dominant, with the X-linked form being the most common. Inheritance patterns are determined by the specific gene involved, with X-linked Alport syndrome typically more severe in males due to the location of the COL4A5 gene on the X chromosome. Diagnostic criteria for hereditary nephritis include a family history of the condition, characteristic clinical features, and confirmatory genetic testing, which can identify mutations in the COL4A3, COL4A4, or COL4A5 genes, along with renal biopsy findings showing alterations in the GBM."
Hypertension,D006973,"Hypertension, a complex and multifactorial disease (OMIM ID: D006973), involves the interplay of genetic and environmental factors, leading to elevated blood pressure. Key genes implicated in hypertension include AGT (angiotensinogen), ACE (angiotensin-converting enzyme), and NOS3 (endothelial nitric oxide synthase), which are integral to the renin-angiotensin-aldosterone system (RAAS) and nitric oxide signaling pathways, crucial for vascular tone and fluid balance. The RAAS pathway, activated by renin, converts angiotensinogen to angiotensin I, which is then converted to angiotensin II by ACE, a potent vasoconstrictor that also stimulates aldosterone release, further increasing blood pressure. Commonly used antihypertensive drugs include ACE inhibitors (e.g., lisinopril), which block the conversion of angiotensin I to angiotensin II; angiotensin receptor blockers (ARBs, e.g., losartan), which block the action of angiotensin II on its receptors; and calcium channel blockers (e.g., amlodipine), which inhibit calcium entry into vascular smooth muscle cells, causing vasodilation. Hypertension is often associated with comorbidities such as cardiovascular disease, stroke, and kidney failure. Clinically, it is characterized by persistently high blood pressure, typically defined as systolic blood pressure ≥140 mmHg or diastolic blood pressure ≥90 mmHg. Hypertension can be primary (essential) or secondary, with primary being more common and often linked to polygenic inheritance, while secondary is due to identifiable causes like renal disease. Genetic components, including variants in the aforementioned genes, contribute to familial aggregation, and diagnostic criteria involve repeated blood pressure measurements and, in some cases, additional tests like echocardiography and renal function assessments to evaluate organ damage and guide treatment."
Asthma,D001249,"Asthma (OMIM ID: D001249) is a chronic inflammatory respiratory disease characterized by airway hyperresponsiveness and reversible airflow obstruction. The pathogenesis of asthma involves multiple genetic and environmental factors, with key genes such as ADAM33, ADRB2, and IL13 playing significant roles in the development of the condition. These genes are involved in various signaling pathways, including the T-helper 2 (Th2) pathway, which is critical in the immune response and inflammation, involving cytokines like interleukin-4 (IL-4), interleukin-5 (IL-5), and interleukin-13 (IL-13). Commonly used drugs for asthma management include inhaled corticosteroids (e.g., fluticasone), which reduce inflammation; long-acting beta-agonists (e.g., salmeterol), which relax bronchial smooth muscle; and leukotriene receptor antagonists (e.g., montelukast), which block the action of leukotrienes, thereby reducing bronchoconstriction. Asthma is often comorbid with other atopic conditions such as allergic rhinitis and atopic dermatitis, and severe cases can lead to complications like chronic obstructive pulmonary disease (COPD) and recurrent respiratory infections. Clinically, asthma presents with symptoms such as wheezing, shortness of breath, chest tightness, and coughing, particularly at night or during exercise. The disease is categorized into several types, including allergic, non-allergic, and exercise-induced asthma. While asthma has a complex inheritance pattern, it is known to have a strong genetic component, with both Mendelian and polygenic inheritance patterns observed. For instance, mutations in the ORMDL3 gene on chromosome 17q21 have been linked to an increased risk of asthma. Diagnosis of asthma typically involves a combination of clinical history, physical examination, and lung function tests, such as spirometry, which measures the volume and flow of air in and out of the lungs, and bronchoprovocation testing, which assesses airway reactivity."
"Dermatitis, Atopic",D003876,"Atopic dermatitis (AD), a chronic, relapsing inflammatory skin condition, is characterized by complex interactions involving genetic and environmental factors. Key genes associated with AD include *FLG* (filaggrin), *SPINK5* (serine peptidase inhibitor Kazal type 5), and *IL4* (interleukin-4), which are involved in skin barrier function and immune regulation. These genetic mutations can lead to impaired skin barrier integrity and increased susceptibility to allergens and irritants, triggering an overactive immune response primarily through the Th2 pathway, which involves cytokines such as IL-4, IL-13, and IL-31, leading to pruritus and inflammation. Commonly used treatments for AD include topical corticosteroids, which reduce inflammation by inhibiting phospholipase A2 and subsequent prostaglandin synthesis; calcineurin inhibitors like tacrolimus and pimecrolimus, which suppress T-cell activation; and systemic immunomodulators such as dupilumab, which blocks the IL-4 and IL-13 receptors, thereby reducing the Th2-mediated inflammatory response. Comorbidities often linked with AD include asthma, allergic rhinitis, and food allergies, reflecting the atopic diathesis. Clinically, AD presents with dry, itchy, and inflamed skin, often with a characteristic distribution on the flexural surfaces of the body. The disease can be classified into three types: infantile, childhood, and adult, each with distinct clinical features. Inheritance patterns of AD are multifactorial, with a strong genetic component, and familial aggregation is common, suggesting a polygenic inheritance. Diagnostic criteria for AD, such as the Hanifin and Rajka criteria, include a history of itching, typical morphology and distribution of lesions, and chronic or chronically relapsing dermatitis. Genetic testing for mutations in *FLG* and other relevant genes, along with skin biopsy and patch testing, can aid in confirming the diagnosis and guiding management."
Breast Neoplasms,D001943,"Breast neoplasms, a heterogeneous group of malignancies characterized by uncontrolled cell growth in the breast tissue, are associated with several genetic and molecular alterations, including mutations in BRCA1, BRCA2, and TP53, which play critical roles in DNA repair and cell cycle regulation. These mutations can disrupt key signaling pathways such as the PI3K/AKT/mTOR pathway, leading to enhanced cell proliferation and survival. Commonly used therapeutic drugs for breast cancer include tamoxifen, which blocks estrogen receptors, trastuzumab, a monoclonal antibody targeting HER2 overexpression, and paclitaxel, a microtubule-stabilizing agent that inhibits mitosis. Comorbidities and complications often include lymphedema, secondary malignancies, and cardiovascular issues. Clinically, patients may present with a palpable mass, skin changes, or nipple discharge. The disease is categorized into several types, including ductal carcinoma in situ (DCIS), invasive ductal carcinoma (IDC), and invasive lobular carcinoma (ILC). Inheritance patterns can be autosomal dominant, as seen in hereditary breast and ovarian cancer syndrome (HBOC) due to BRCA1/2 mutations, or sporadic. Diagnostic criteria typically involve imaging studies such as mammography and ultrasound, followed by biopsy and histopathological examination, along with genetic testing for known mutations to guide treatment and management."
Brain Neoplasms,D001932,"Brain neoplasms, a diverse group of tumors that can be benign or malignant, are characterized by abnormal growths of cells within the brain. These tumors can arise from various genetic mutations, including those in the TP53, IDH1, and EGFR genes, which play critical roles in cell cycle regulation, metabolic pathways, and growth factor signaling, respectively. The pathogenesis often involves dysregulation of the PI3K/AKT/mTOR pathway, a key cellular signaling cascade that regulates cell survival, proliferation, and metabolism. Commonly used treatments for brain neoplasms include temozolomide, which alkylates DNA leading to cell death; bevacizumab, an anti-angiogenic agent that inhibits VEGF to reduce tumor blood supply; and carmustine, an alkylating agent that also disrupts DNA replication. Comorbidities and complications associated with brain neoplasms can include seizures, cognitive dysfunction, and increased intracranial pressure, which may lead to hydrocephalus. Clinically, patients may present with headaches, nausea, vomiting, and focal neurological deficits, depending on the location and size of the tumor. Brain neoplasms are categorized into primary (originating in the brain) and secondary (metastatic) types, with gliomas, meningiomas, and medulloblastomas being common primary examples. Inheritance patterns can vary, but certain syndromes like Li-Fraumeni syndrome (TP53 mutation) and neurofibromatosis type 1 (NF1 mutation) are known to predispose individuals to brain tumors. Diagnostic criteria typically involve a combination of clinical presentation, imaging studies such as MRI and CT scans, and histopathological examination of biopsy samples, which can confirm the presence and type of neoplasm."
Nasal Polyps,D009298,"Nasal polyps, a chronic inflammatory condition of the nasal mucosa (OMIM ID: D009298), are characterized by the formation of non-cancerous growths in the nasal passages or sinuses. The disease is associated with several genetic and molecular factors, including mutations in genes such as *ADAM33*, *IL-4*, and *STAT6*, which play roles in immune regulation and inflammation. These genetic alterations can disrupt the IL-4/STAT6 signaling pathway, leading to increased production of Th2 cytokines and eosinophilic infiltration, key components in the pathogenesis of nasal polyps. Commonly used drugs for treatment include intranasal corticosteroids like fluticasone, which reduce inflammation by inhibiting the production of pro-inflammatory cytokines; oral corticosteroids such as prednisone, which have a more systemic anti-inflammatory effect; and leukotriene receptor antagonists like montelukast, which block the action of leukotrienes, thereby reducing inflammation and mucus production. Nasal polyps are often comorbid with conditions such as asthma, aspirin-exacerbated respiratory disease, and chronic rhinosinusitis, and can lead to complications such as obstructive sleep apnea and recurrent sinus infections. Clinically, patients present with symptoms such as nasal congestion, runny nose, loss of smell, and facial pressure. The disease can be classified into two main types: eosinophilic and non-eosinophilic, based on the predominant inflammatory cell type. While most cases are sporadic, there is evidence of a familial predisposition, with some studies suggesting a possible autosomal dominant inheritance pattern. Diagnostic criteria typically include a combination of clinical history, physical examination, and imaging studies such as CT scans, which can help identify the presence and extent of polyps. Endoscopic examination and biopsy may also be performed to confirm the diagnosis and rule out other conditions."
Schizophrenia,D012559,"Schizophrenia, a complex psychiatric disorder (OMIM ID: D012559), is characterized by a multifactorial etiology involving both genetic and environmental factors. The disease is associated with several genes, including *DISC1*, *NRG1*, and *COMT*, which encode proteins involved in neural development and synaptic function. These genetic variations can disrupt the dopaminergic and glutamatergic signaling pathways, leading to aberrant neurotransmission. Key molecular components in these pathways include dopamine receptors (D2) and NMDA receptors, which are critical for neuronal communication and plasticity. Commonly used antipsychotic drugs, such as haloperidol, risperidone, and clozapine, target these pathways; haloperidol blocks D2 receptors, risperidone acts as a D2 and 5-HT2A antagonist, and clozapine has a broad receptor profile, including D4 and 5-HT2A antagonism, to mitigate symptoms. Schizophrenia is often comorbid with other conditions, such as depression, anxiety, and substance use disorders, and can lead to complications like cognitive decline and social dysfunction. The nature of the disease is primarily characterized by positive symptoms (hallucinations, delusions), negative symptoms (anhedonia, apathy), and cognitive impairments. Schizophrenia is typically classified into paranoid, disorganized, catatonic, undifferentiated, and residual types based on symptomatology. Inheritance patterns suggest a polygenic component, with a heritability estimate of around 80%, and family studies have shown that first-degree relatives of affected individuals have a higher risk. Diagnostic criteria, as outlined in the DSM-5, require the presence of at least two characteristic symptoms, significant functional impairment, and a duration of at least six months, with diagnostic testing often including clinical interviews, psychological assessments, and sometimes neuroimaging to rule out other conditions."
Osteoarthritis,D010003,"Osteoarthritis (OMIM ID: D010003) is a degenerative joint disease characterized by the progressive breakdown of articular cartilage and subchondral bone, leading to joint pain and stiffness. The pathogenesis involves multiple genetic and environmental factors, with associated genes including GDF5, COL2A1, and MMP13, which are involved in cartilage development and maintenance. These genes interact within the TGF-β signaling pathway, which regulates chondrocyte differentiation and extracellular matrix homeostasis, involving key components such as SMAD proteins and integrins. Commonly used drugs for osteoarthritis include nonsteroidal anti-inflammatory drugs (NSAIDs) like ibuprofen, which reduce inflammation and pain by inhibiting cyclooxygenase enzymes; glucosamine, which supports cartilage health by providing substrates for glycosaminoglycan synthesis; and hyaluronic acid, which acts as a viscosupplement to improve joint lubrication and reduce pain. Osteoarthritis is often comorbid with conditions such as obesity, diabetes, and cardiovascular diseases, and complications can include joint deformity and loss of function. Clinically, patients present with joint pain, especially after activity, morning stiffness, and reduced range of motion. The disease can be classified into primary and secondary types, with primary osteoarthritis having no identifiable cause and secondary osteoarthritis resulting from other conditions like trauma or metabolic disorders. While the inheritance pattern is typically multifactorial, some forms show familial clustering, and mutations in specific genes, such as COL2A1, have been linked to early-onset and more severe forms of the disease. Diagnostic criteria for osteoarthritis include clinical symptoms, radiographic findings of joint space narrowing and osteophyte formation, and sometimes biomarker testing for cartilage degradation products."
"Rhinitis, Allergic",D065631,"Allergic rhinitis, a common inflammatory condition of the nasal mucosa (OMIM ID: D065631), is characterized by an overactive immune response to allergens. The pathogenesis involves several genes and proteins, including variants in the HLA-DQB1, IL-4, and TNF-α genes, which contribute to the hyperresponsiveness of the immune system. These genetic factors influence the activation of the Th2 cell pathway, leading to the production of cytokines such as IL-4, IL-5, and IL-13, which promote IgE synthesis and eosinophilic inflammation. Commonly used treatments for allergic rhinitis include antihistamines like cetirizine, which block histamine receptors; intranasal corticosteroids such as fluticasone, which reduce inflammation; and leukotriene receptor antagonists like montelukast, which inhibit the action of leukotrienes. Allergic rhinitis is often comorbid with asthma and atopic dermatitis, and complications can include chronic sinusitis and sleep disturbances. Clinically, patients present with symptoms such as sneezing, rhinorrhea, nasal congestion, and pruritus. The disease is typically classified into seasonal and perennial types, depending on the duration and timing of symptoms. While allergic rhinitis has a multifactorial etiology, it often exhibits a familial pattern, suggesting a genetic predisposition, and specific mutations in the HLA-DQB1 gene have been linked to increased susceptibility. Diagnosis is based on clinical history, physical examination, and may be confirmed with skin prick tests or specific IgE measurements, which help identify the triggering allergens."
