Name,Drug,Description
Cyclophosphamide,DB00860,"Cyclophosphamide, with the DrugBank ID DB00860, is an alkylating agent characterized by a bis(β-chloroethyl)amino group attached to a phosphoramide mustard moiety, which upon metabolic activation, forms highly reactive intermediates responsible for its cytotoxic effects. It belongs to the chemical category of nitrogen mustards and shares a similar scaffold with other alkylating agents like ifosfamide and melphalan. The drug is absorbed well in the gastrointestinal tract, with peak plasma concentrations achieved within 1-2 hours post-administration; it is widely distributed throughout body tissues and fluids, including cerebrospinal fluid, and is metabolized primarily in the liver through cytochrome P450 enzymes into active and inactive metabolites, with the majority of the drug and its metabolites excreted in the urine. Cyclophosphamide's toxicity includes bone marrow suppression, which can lead to leukopenia, and potential long-term risks such as secondary malignancies and bladder damage due to the formation of acrolein. The primary target proteins include DNA, where it forms covalent cross-links, and aldehyde dehydrogenase, which is involved in its metabolism. It is indicated for the treatment of various cancers, including lymphomas, multiple myeloma, and certain types of leukemia, as well as autoimmune disorders like systemic lupus erythematosus and nephrotic syndrome. Common side effects include nausea, vomiting, alopecia, and an increased susceptibility to infections. Clinically, cyclophosphamide is used both as a single agent and in combination regimens, such as in the CHOP (cyclophosphamide, doxorubicin, vincristine, prednisone) protocol for non-Hodgkin's lymphoma."
Doxorubicin,DB01234,"Doxorubicin, with the DrugBank ID DB01234, is an anthracycline antibiotic characterized by a tetracyclic ring structure with a quinone and a sugar moiety, daunosamine, attached to the aglycone part. It belongs to the chemical category of antitumor antibiotics and shares a similar scaffold with other anthracyclines such as epirubicin and idarubicin. Doxorubicin's pharmacokinetics are notable for its rapid distribution into tissues following intravenous administration, with minimal metabolism; it is primarily excreted unchanged in the bile and undergoes enterohepatic recirculation. The drug can cause significant toxicity, particularly cardiotoxicity, which may lead to congestive heart failure, and myelosuppression, leading to reduced white blood cell counts. Its primary target proteins include topoisomerase II and DNA, where it intercalates and inhibits DNA replication. Doxorubicin is indicated for the treatment of various malignancies, including breast cancer, ovarian cancer, and acute lymphoblastic leukemia. Common side effects include nausea, vomiting, alopecia, and stomatitis. Clinically, doxorubicin is used in combination regimens, such as AC (doxorubicin and cyclophosphamide) for breast cancer, and in protocols like CHOP (cyclophosphamide, doxorubicin, vincristine, and prednisone) for non-Hodgkin lymphoma."
Fludarabine,DB00959,"Fludarabine, with the DrugBank ID DB00959, is a purine analog that features a 9-β-D-arabinofuranosyladenine (ara-A) structure linked to a fluorine atom at the 2' position of the ribose sugar, making it a fluorinated nucleoside. It belongs to the chemical category of antimetabolites and specifically falls under the purine analogs scaffold. Similar drugs in this class include cladribine and pentostatin, which also interfere with DNA synthesis. In terms of pharmacokinetics, fludarabine is rapidly absorbed after intravenous administration, with a bioavailability that is not significantly affected by food. It distributes widely throughout the body, including the central nervous system, and is primarily metabolized in the liver to its active triphosphate form, 2-fluoro-ara-ATP, which is responsible for its cytotoxic effects. The drug is excreted mainly through the kidneys, with a half-life of approximately 3-6 hours. Fludarabine can cause significant toxicity, including myelosuppression leading to anemia, neutropenia, and thrombocytopenia, as well as neurotoxicity, which may manifest as peripheral neuropathy or even more severe conditions like encephalopathy. Its primary target proteins are DNA polymerase, ribonucleotide reductase, and DNA primase, inhibiting DNA replication and RNA synthesis. Fludarabine is indicated for the treatment of chronic lymphocytic leukemia (CLL) and is also used off-label for other hematological malignancies such as non-Hodgkin's lymphoma and T-cell prolymphocytic leukemia. Common side effects of fludarabine include nausea, vomiting, fatigue, and infections due to immunosuppression. Clinically, fludarabine is often used in combination with other chemotherapeutic agents or as a single agent in the management of CLL, where it has shown efficacy in inducing remissions and prolonging survival."
Imatinib,DB00443,"Imatinib, with the DrugBank ID DB00443, is a 2-phenylaminopyrimidine derivative characterized by a pyridyl-pyrimidine core structure, which is crucial for its pharmacological activity. It belongs to the chemical category of tyrosine kinase inhibitors and shares a similar scaffold with other drugs in this class, such as Nilotinib and Dasatinib, which also target specific tyrosine kinases. In terms of pharmacokinetics, Imatinib is well absorbed orally, reaching peak plasma concentrations within 2-4 hours, and it is widely distributed throughout the body, with a volume of distribution of approximately 17 liters. The drug is primarily metabolized by the liver through the CYP3A4 enzyme, and its metabolites are excreted mainly in the feces, with only a small amount (about 13%) eliminated in the urine. Imatinib has a relatively low toxicity profile, but it can cause serious side effects, including myelosuppression, fluid retention, and rarely, severe hepatotoxicity. The primary target proteins of Imatinib include BCR-ABL, KIT, and PDGFR, making it effective in treating chronic myeloid leukemia (CML) and gastrointestinal stromal tumors (GIST). Common side effects of Imatinib include nausea, muscle cramps, and edema. Clinically, Imatinib is used not only for CML and GIST but also for certain types of acute lymphoblastic leukemia (ALL) and dermatofibrosarcoma protuberans, where it has shown significant efficacy in controlling disease progression and improving patient outcomes."
Methotrexate,DB00741,"Methotrexate (DB00741) is a folic acid antagonist with the chemical formula C20H22N8O5, featuring a pteridine ring system linked to para-aminobenzoic acid and a glutamic acid moiety, which classifies it as an antimetabolite. Its chemical scaffold is based on the pteridinyl structure, making it similar to other folic acid analogs such as leucovorin and pralatrexate. Pharmacokinetically, methotrexate is absorbed well in the gastrointestinal tract, with peak plasma concentrations typically reached within 1-2 hours post-administration; it is widely distributed throughout body tissues, including the liver, kidneys, and third spaces like pleural and peritoneal cavities, and is metabolized primarily in the liver by enzymes such as folylpolyglutamate synthetase, with excretion mainly occurring via the kidneys. Methotrexate can be toxic, particularly at high doses, leading to severe side effects such as bone marrow suppression, hepatotoxicity, and nephrotoxicity. The primary target proteins of methotrexate include dihydrofolate reductase (DHFR), which it inhibits, thereby blocking the synthesis of purines and thymidylate, essential for DNA and RNA synthesis. It is indicated for the treatment of various conditions, including rheumatoid arthritis, psoriasis, and certain types of cancer, notably acute lymphoblastic leukemia and choriocarcinoma. Common side effects of methotrexate include nausea, vomiting, stomatitis, and alopecia, while more severe reactions can involve pulmonary fibrosis and liver damage. Clinically, methotrexate is used not only for its anti-inflammatory and immunosuppressive properties in autoimmune diseases but also as a chemotherapeutic agent in oncology, often in combination with other drugs to enhance efficacy and reduce resistance."
Tamoxifen,DB00620,"Tamoxifen, identified by the DrugBank ID DB00620, is a non-steroidal triphenylethylene derivative with a chemical structure that includes an ethyl group attached to a central carbon, which in turn is bonded to two phenyl rings and a tertiary butoxy group. It belongs to the chemical category of selective estrogen receptor modulators (SERMs) and its scaffold is characterized by the triphenylethylene core, which is also found in similar drugs like raloxifene and toremifene. Pharmacokinetically, tamoxifen is well absorbed after oral administration, with peak plasma concentrations typically reached within 4-7 hours. It is highly protein-bound, primarily to albumin, and is extensively metabolized in the liver by cytochrome P450 enzymes, notably CYP3A4 and CYP2D6, into active metabolites such as 4-hydroxytamoxifen and endoxifen. These metabolites are excreted mainly in the feces, with a smaller amount in the urine. Tamoxifen's toxicity can manifest in various forms, including an increased risk of thromboembolic events and endometrial cancer, particularly with long-term use. The primary target proteins of tamoxifen include estrogen receptors (ERs), where it acts as an antagonist in breast tissue while often behaving as an agonist in other tissues. This drug is indicated for the treatment and prevention of estrogen receptor-positive breast cancer, as well as for reducing the incidence of contralateral breast cancer. Common side effects of tamoxifen include hot flashes, nausea, and less frequently, more severe conditions such as uterine cancer and cataracts. Clinically, tamoxifen is used not only for treating metastatic breast cancer but also as adjuvant therapy following surgery or radiation to reduce the risk of recurrence, and in high-risk women to prevent the development of breast cancer."
Cladribine,DB00635,"Cladribine (DB00635) is a purine analog with the chemical name 2-chloro-2'-deoxyadenosine, featuring a chlorine atom at the 2-position of the purine ring and a deoxyribose sugar, which distinguishes it from its parent compound, adenosine. It belongs to the chemical category of antineoplastic and immunomodulating agents, specifically as a purine nucleoside analog. The chemical scaffold of cladribine includes a purine base, which is common in other nucleoside analogs such as fludarabine and pentostatin. In terms of pharmacokinetics, cladribine is rapidly absorbed after oral administration, widely distributed throughout the body, and primarily metabolized intracellularly by deoxycytidine kinase to its active triphosphate form, with subsequent excretion mainly through the kidneys. Its toxicity profile includes myelosuppression, leading to an increased risk of infections and bleeding, and it can also cause liver function abnormalities. Cladribine targets key enzymes involved in DNA synthesis, particularly ribonucleotide reductase and DNA polymerase, inhibiting DNA replication and repair. It is indicated for the treatment of hairy cell leukemia and multiple sclerosis, where it effectively reduces the relapse rate and slows disease progression. Common side effects include lymphopenia, neutropenia, and infections, while less common but serious side effects can include severe allergic reactions and pulmonary toxicity. Clinically, cladribine is used both as a first-line therapy in certain types of leukemia and as a maintenance therapy in patients with relapsing-remitting multiple sclerosis, demonstrating its versatility and efficacy across different therapeutic areas."
Cytarabine,DB01380,"Cytarabine, identified by DrugBank ID DB01380, is a nucleoside analog with the chemical name 1-β-D-arabinofuranosylcytosine, featuring a cytosine base attached to an arabinose sugar, which distinguishes it from the natural deoxyribose in DNA. It belongs to the chemical category of pyrimidine nucleosides and shares a similar scaffold with other antineoplastic agents such as gemcitabine and azacitidine. Cytarabine is absorbed rapidly after intravenous administration, with peak plasma concentrations occurring within 20 to 60 minutes; it distributes widely throughout the body, including the cerebrospinal fluid, and is primarily metabolized in the liver through deamination to form the inactive metabolite uracil arabinoside. The drug is excreted mainly in the urine, with a half-life ranging from 1 to 3 hours. Its toxicity includes bone marrow suppression, which can lead to severe neutropenia, thrombocytopenia, and anemia, and it can also cause gastrointestinal disturbances and central nervous system effects. Cytarabine targets DNA polymerase, thereby inhibiting DNA synthesis and cell division, particularly in rapidly dividing cells. It is indicated for the treatment of acute myeloid leukemia (AML), acute lymphocytic leukemia (ALL), and sometimes in the management of non-Hodgkin's lymphomas. Common side effects include nausea, vomiting, diarrhea, stomatitis, alopecia, and peripheral neuropathy. Clinically, cytarabine is used in combination regimens, such as with anthracyclines, for induction and consolidation therapy in AML, significantly improving remission rates and overall survival."
Mercaptopurine,DB00618,"Mercaptopurine (DrugBank ID: DB00618) is a purine analog with the chemical formula C5H4N4S, featuring a thiopurine scaffold, which includes a sulfur atom in place of an oxygen atom in the purine ring, making it structurally similar to other thiopurines like azathioprine and thioguanine. This compound belongs to the category of antimetabolites and specifically to the class of purine antagonists. Its chemical scaffold, 6-mercaptopurine, is crucial for its mechanism of action, as it interferes with nucleic acid synthesis. Mercaptopurine is rapidly absorbed from the gastrointestinal tract, with peak plasma concentrations reached within 1-2 hours; it is widely distributed throughout the body, including the central nervous system, and is metabolized primarily in the liver by xanthine oxidase and other enzymes into inactive metabolites, which are then excreted in the urine. The drug's toxicity can manifest as bone marrow suppression, leading to leukopenia, thrombocytopenia, and anemia, and it can also cause hepatotoxicity and pancreatitis. Mercaptopurine targets several proteins, including hypoxanthine-guanine phosphoribosyltransferase (HGPRT), inosine monophosphate dehydrogenase (IMPDH), and thiopurine S-methyltransferase (TPMT). It is indicated for the treatment of acute lymphoblastic leukemia (ALL) and certain inflammatory conditions such as Crohn's disease and ulcerative colitis. Common side effects include nausea, vomiting, diarrhea, and alopecia, while more severe side effects can include infections due to immunosuppression and, rarely, secondary malignancies. Clinically, mercaptopurine is used in combination with other chemotherapeutic agents in the maintenance phase of ALL therapy and as a long-term treatment to maintain remission in patients with inflammatory bowel diseases."
Rituximab,DB00773,"Rituximab (DB00773) is a chimeric monoclonal antibody that consists of a human IgG1 kappa immunoglobulin framework with murine variable regions, specifically targeting the CD20 antigen on the surface of B lymphocytes. It belongs to the chemical category of therapeutic antibodies and its scaffold is characterized by the typical Y-shaped structure of an IgG1 molecule, which includes two heavy chains and two light chains linked by disulfide bonds. Similar drugs in this class include other anti-CD20 monoclonal antibodies such as ocrelizumab and obinutuzumab. In terms of pharmacokinetics, rituximab is administered intravenously, with minimal absorption through the gastrointestinal tract; it distributes widely throughout the body, particularly in the extracellular fluid, and has a half-life ranging from 22 to 48 days. Metabolism occurs primarily via proteolytic degradation, and excretion is through the reticuloendothelial system. Toxicity associated with rituximab can include infusion reactions, which may range from mild to severe, and more serious conditions such as progressive multifocal leukoencephalopathy (PML). The primary target protein of rituximab is the CD20 antigen, which is expressed on the surface of mature B cells. Rituximab is indicated for the treatment of various B-cell malignancies, including non-Hodgkin's lymphoma and chronic lymphocytic leukemia, as well as autoimmune diseases like rheumatoid arthritis and certain types of vasculitis. Common side effects of rituximab include fever, chills, nausea, and fatigue, while more severe side effects can involve cardiac arrhythmias and hypotension. Clinically, rituximab is used not only as a first-line therapy in combination with chemotherapy but also as a maintenance therapy to prolong remission in patients with follicular lymphoma and other B-cell malignancies."
