Name,Disease,Description
"Nephritis, Hereditary",D009394,"Hereditary nephritis, classically exemplified by Alport syndrome, is a genetically heterogeneous group of disorders characterized by progressive glomerular basement membrane (GBM) pathology leading to kidney disease, often with extra-renal manifestations. The disease is caused by mutations in genes encoding type IV collagen, a critical structural component of basement membranes, with pathogenic variants in *COL4A5* (X-linked), *COL4A3*, and *COL4A4* (both autosomal) representing the core genetic etiology. These mutations disrupt the assembly of the α3α4α5 type IV collagen network, primarily within the GBM, leading to its structural fragility and dysfunction. The resultant defect initiates a complex pathogenic signal pathway involving aberrant integrin signaling, activation of transforming growth factor-beta (TGF-β), and subsequent podocyte injury, mesangial cell proliferation, and progressive glomerulosclerosis. Clinically, patients typically present with persistent microscopic hematuria, often in childhood, which may progress to proteinuria, hypertension, and sensorineural hearing loss; ocular anomalies like anterior lenticonus are also characteristic. The disease encompasses several types, primarily defined by inheritance pattern: X-linked dominant (most common, *COL4A5*), autosomal recessive (*COL4A3/COL4A4* biallelic mutations), and autosomal dominant (heterozygous *COL4A3/COL4A4* mutations causing thin basement membrane nephropathy, which can progress). Without intervention, a major complication is progression to end-stage kidney disease (ESKD), often by early adulthood in males with the X-linked form, with comorbidities including hypertension and an increased risk of aortic aneurysms in some families. Diagnosis relies on a combination of clinical history, family history, urinalysis, audiometric and ophthalmologic evaluation, kidney biopsy with electron microscopy showing GBM thickening and thinning with lamellation (""basket-weave"" appearance), and confirmatory genetic testing. Treatment aims to delay progression and includes angiotensin-converting enzyme inhibitors (e.g., lisinopril) or angiotensin II receptor blockers (e.g., losartan) to reduce intraglomerular pressure and proteinuria, and sodium-glucose cotransporter-2 inhibitors (e.g., empagliflozin) for their renoprotective effects, with definitive management for ESKD being dialysis or kidney transplantation, though anti-GBM disease post-transplant is a rare but serious risk in Alport syndrome due to allo"
Hypertension,D006973,"Hypertension, a complex and heterogeneous disorder of sustained elevated blood pressure (nature of the disease), is broadly categorized into primary (essential) and secondary types (types of the disease), with the former representing approximately 90-95% of cases and involving polygenic and environmental influences. While often asymptomatic, typical clinical manifestations can include headache, epistaxis, and end-organ damage signs such as retinal changes or left ventricular heave (typical clinical symptoms and signs). Its pathophysiology involves dysregulation of the renin-angiotensin-aldosterone system (RAAS), a critical associated signal pathway where angiotensinogen, renin, and angiotensin-converting enzyme (ACE) are key molecular components. Genetic studies have identified several associated genes contributing to susceptibility, including polymorphisms in *AGT* (angiotensinogen), *ACE*, and *ADD1* (adducin 1) (associated genes, proteins, or mutations). Although most cases are multifactorial, rare Mendelian forms exhibit clear inheritance patterns, such as autosomal dominant familial hyperaldosteronism or Liddle syndrome caused by mutations in epithelial sodium channel genes, highlighting a known genetic component (inheritance patterns and any known genetic component). Diagnosis is based on persistent blood pressure measurements ≥130/80 mmHg per current guidelines, confirmed via ambulatory or home monitoring, with testing aimed at assessing end-organ damage and identifying secondary causes (diagnostic criteria and testing methods). Chronic hypertension is a major risk factor for serious linked comorbidities and complications, including coronary artery disease, heart failure, stroke, chronic kidney disease, and retinopathy. First-line pharmacological management commonly employs associated drugs such as ACE inhibitors (e.g., lisinopril), which block the conversion of angiotensin I to II; calcium channel blockers (e.g., amlodipine), which cause vasodilation; and thiazide diuretics (e.g., hydrochlorothiazide), which reduce plasma volume (associated drugs commonly used for treatment, with at least 3 examples and their mechanisms of action)."
Asthma,D001249,"Asthma is a chronic inflammatory disorder of the airways characterized by variable airflow obstruction, bronchial hyperresponsiveness, and underlying inflammation, clinically manifesting as recurrent episodes of wheezing, breathlessness, chest tightness, and cough. The disease exhibits heterogeneity, with common classifications including allergic (extrinsic) and non-allergic (intrinsic) asthma, as well as phenotypes such as eosinophilic or neutrophilic predominant disease. While often complex and polygenic, familial aggregation points to a significant genetic component, with inheritance typically following a multifactorial pattern, though rare monogenic forms exist; implicated genes include *ADAM33* (involved in airway remodeling), *ORMDL3* (associated with childhood asthma and influencing sphingolipid synthesis), and variants in the *IL-4* and *IL-13* cytokine gene cluster, which are central to the T-helper 2 (Th2) immune response pathway. This canonical Th2 pathway drives the disease pathophysiology, where allergens trigger dendritic cells to activate naïve T cells, leading to the production of interleukins (IL-4, IL-5, IL-13) that promote IgE synthesis by B cells, eosinophil recruitment, and mast cell activation, resulting in inflammation, mucus hypersecretion, and bronchoconstriction. Standard diagnostic criteria rely on clinical history, physical exam findings like expiratory wheezing, and confirmation via spirometry demonstrating reversible airflow obstruction (e.g., an increase in FEV1 ≥12% post-bronchodilator), with additional testing including bronchial provocation and measurement of fractional exhaled nitric oxide (FeNO) to assess eosinophilic inflammation. Mainstay pharmacotherapy targets these pathways: short-acting beta-agonists (SABAs) like albuterol provide rapid relief by relaxing airway smooth muscle via beta-2 adrenergic receptor agonism; inhaled corticosteroids (ICS) such as fluticasonesuppress the underlying inflammatory response by inhibiting multiple inflammatory genes; and leukotriene receptor antagonists (LTRAs) like montelukast block the action of cysteinyl leukotrienes on airway receptors. Left uncontrolled, asthma is linked to significant comorbidities including allergic rhinitis, chronic rhinosinusitis with nasal polyps, gastroesophageal reflux disease (GERD), and anxiety/depression, while complications range from frequent exacerbations and emergency hospitalizations to fixed airflow obstruction and, rarely, fatal asthma attacks."
"Dermatitis, Atopic",D003876,"Atopic dermatitis (AD), a chronic, relapsing inflammatory skin disease (5), is characterized by intense pruritus, eczematous lesions, and a profound disruption of the epidermal barrier, typically presenting with erythematous, scaly, and often lichenified plaques in flexural areas (6). Its pathogenesis involves a complex interplay of genetic predisposition, immune dysregulation, and environmental triggers, with filaggrin (FLG) loss-of-function mutations (e.g., R501X, 2282del4) being the most robust genetic risk factor, alongside variants in genes like SPINK5 and IL4R that compromise epidermal integrity and promote type 2 immunity (1, 8). This immune polarization is driven by the dysregulated T helper 2 (Th2) cell pathway, where cytokines such as IL-4, IL-13, and IL-31, signaling through receptors like IL-4Rα, are key molecular components that promote IgE production, pruritus, and further barrier dysfunction (2). Management strategies target these pathways: topical corticosteroids and calcineurin inhibitors (e.g., tacrolimus) suppress local immune activation, while systemic biologic agents like dupilumab, a monoclonal antibody against the IL-4Rα subunit, specifically inhibits IL-4 and IL-13 signaling (3). AD is not an isolated condition; it is strongly linked to comorbidities including asthma, allergic rhinitis (the ""atopic march""), and complications such as cutaneous infections from Staphylococcus aureus due to barrier breakdown (4). While often sporadic, AD exhibits a strong familial aggregation with complex, polygenic inheritance patterns, though rare monogenic forms exist (8). Diagnosis is primarily clinical, based on established criteria (e.g., Hanifin and Rajka), with supportive testing including serum IgE levels, specific IgE assays, and, in select cases, genetic testing for FLG mutations (9). The disease manifests in several types, including extrinsic (IgE-associated) and intrinsic (non-IgE-associated) variants, as well as age-specific presentations in infants, children, and adults (7)."
Breast Neoplasms,D001943,"Breast neoplasms, encompassing a spectrum from benign lesions to invasive carcinomas, are fundamentally diseases of genetic and cellular dysregulation, with key driver mutations in genes such as *BRCA1* (a tumor suppressor involved in DNA repair), *BRCA2* (also critical for homologous recombination repair), and *ERBB2* (*HER2*, a receptor tyrosine kinase promoting cell proliferation). The pathogenesis frequently involves the dysregulation of the PI3K/AKT/mTOR signal transduction pathway, a central controller of cell growth, survival, and metabolism, often through activating mutations in *PIK3CA* or loss of the pathway inhibitor PTEN. Treatment strategies are targeted against these molecular vulnerabilities, exemplified by tamoxifen (a selective estrogen receptor modulator that antagonizes estrogen-driven growth in ER-positive tumors), trastuzumab (a monoclonal antibody that binds to and inhibits the HER2 receptor), and everolimus (an mTOR pathway inhibitor). The disease is associated with significant comorbidities and complications, including metastatic spread to bone, brain, liver, and lungs, as well as treatment-related side effects such as cardiotoxicity and secondary malignancies. Clinically, it may present with a palpable breast mass, skin changes like peau d'orange, nipple retraction or discharge, and lymphadenopathy. Major histopathological types include ductal carcinoma in situ (DCIS), invasive ductal carcinoma (the most common type), and invasive lobular carcinoma. While most cases are sporadic, approximately 5-10% exhibit a hereditary pattern, predominantly autosomal dominant inheritance with incomplete penetrance, as seen in families with *BRCA1/2* mutations. Diagnosis relies on a multimodal approach integrating imaging (mammography, ultrasound, MRI), histopathological examination of biopsy specimens (assessing morphology, grade, and receptor status: ER, PR, HER2), and increasingly, genomic profiling to guide therapeutic decisions."
Brain Neoplasms,D001932,"Brain neoplasms, encompassing a heterogeneous group of primary and metastatic tumors within the central nervous system, are characterized by uncontrolled cellular proliferation with a complex, multifactorial etiology often involving genetic alterations. Key driver mutations and associated genes include loss-of-function mutations in the *TP53* tumor suppressor, amplification or activating mutations in the *EGFR* oncogene, and mutations in the *IDH1* gene, which encodes isocitrate dehydrogenase 1 and is a hallmark of certain gliomas. A central dysregulated pathway is the receptor tyrosine kinase (RTK)/RAS/PI3K signaling cascade, where aberrant activation promotes cell growth, survival, and proliferation; key components include upstream receptors like EGFR and PDGFR, and downstream effectors such as AKT and mTOR. Pharmacological intervention targets these pathways, exemplified by temozolomide, an alkylating agent that induces DNA damage; bevacizumab, a monoclonal antibody inhibiting VEGF to suppress tumor angiogenesis; and everolimus, an mTOR inhibitor that blocks downstream proliferative signaling. The disease is frequently complicated by increased intracranial pressure, seizures, and focal neurological deficits, with comorbidities including venous thromboembolism and profound cognitive or psychological impairment. Clinical presentation is highly variable but typically includes progressive headaches, new-onset seizures, focal neurological signs such as weakness or sensory loss, and neurocognitive changes. Major histological types range from generally less aggressive meningiomas and pituitary adenomas to highly malignant glioblastomas and medulloblastomas. While most brain tumors are sporadic, significant hereditary syndromes confer predisposition, such as Li-Fraumeni syndrome (autosomal dominant, *TP53* mutations), neurofibromatosis type 2 (autosomal dominant, *NF2* mutations), and Lynch syndrome (autosomal dominant, DNA mismatch repair gene mutations). Diagnosis integrates clinical assessment with advanced neuroimaging, primarily magnetic resonance imaging (MRI) with contrast, and definitive histopathological confirmation through biopsy or surgical resection, supplemented increasingly by molecular profiling (e.g., *IDH* mutation, 1p/19q co-deletion status) for classification and prognostication."
Nasal Polyps,D009298,"Nasal polyps are benign, inflammatory outgrowths of the sinonasal mucosa, representing a chronic manifestation of type 2 inflammation often associated with conditions like asthma, aspirin-exacerbated respiratory disease (AERD), and chronic rhinosinusitis. The disease is heterogeneous, with common clinical symptoms including nasal obstruction, hyposmia, rhinorrhea, and postnasal drip, often leading to complications such as recurrent sinus infections and exacerbation of comorbid asthma. While most cases are sporadic, there is a recognized genetic component, with familial aggregation observed and specific genes implicated, including mutations in the cystic fibrosis transmembrane conductance regulator (*CFTR*) gene leading to cystic fibrosis-associated polyposis, variants in the *CHRNA3/CHRNA5* locus linked to susceptibility in genome-wide association studies, and dysregulation of genes involved in epithelial barrier function like *SPINK5*. The central pathogenic pathway involves the interleukin-4 (IL-4), IL-5, and IL-13 signaling axis, driven by type 2 helper T cells (Th2) and group 2 innate lymphoid cells (ILC2s), leading to eosinophil recruitment, IgE production, and epithelial remodeling. Pharmacological management targets this inflammation, utilizing intranasal corticosteroids (e.g., mometasone furoate) to reduce local inflammatory gene expression, systemic corticosteroids like prednisone for rapid reduction of polyp size via broad anti-inflammatory effects, and biologic agents such as dupilumab, a monoclonal antibody that inhibits IL-4 and IL-13 signaling by blocking their shared receptor subunit. Diagnosis is primarily clinical via nasal endoscopy, which reveals pale, edematous polyps, supported by CT imaging to define extent, with allergy testing and, in select cases, genetic testing for *CFTR* to rule out underlying systemic disorders. The disease is broadly categorized into eosinophilic (inflammatory) and neutrophilic (infectious) types, with the former being more common and steroid-responsive."
Schizophrenia,D012559,"Schizophrenia is a complex, chronic, and severe neuropsychiatric disorder characterized by a heterogeneous clinical presentation typically involving positive symptoms (e.g., hallucinations, delusions), negative symptoms (e.g., avolition, flat affect), and cognitive impairments. The disease arises from a multifactorial interplay of polygenic risk and environmental factors, with a heritability estimate of approximately 80%. While no single gene is causative, genome-wide association studies have implicated numerous susceptibility loci, including genes such as *DISC1* (Disrupted in Schizophrenia 1), which is involved in neuronal development and synaptic function; *NRG1* (Neuregulin 1), a key player in glutamatergic signaling and myelination; and *COMT* (Catechol-O-methyltransferase), which modulates prefrontal cortical dopamine catabolism. Pathophysiological models often center on dysregulation of dopaminergic neurotransmission, particularly mesolimbic hyperactivity and mesocortical hypoactivity, and converging evidence also points to dysfunction in glutamatergic pathways, notably involving N-methyl-D-aspartate (NMDA) receptor hypofunction. Pharmacological management primarily utilizes antipsychotic drugs, which are categorized as first-generation (typical) or second-generation (atypical). Examples include haloperidol, a typical antipsychotic that primarily acts as a potent dopamine D2 receptor antagonist; clozapine, an atypical agent with broad receptor affinity including antagonism at D2, 5-HT2A, and muscarinic receptors, noted for efficacy in treatment-resistant cases; and aripiprazole, a partial agonist at D2 and 5-HT1A receptors which stabilizes dopaminergic signaling. Patients with schizophrenia face significant comorbidities, including substance use disorders, metabolic syndrome (often exacerbated by antipsychotic medication), depression, and an elevated risk of cardiovascular disease. The disease course can be episodic or continuous, and while subtypes (e.g., paranoid, disorganized) were historically recognized, modern diagnostic systems emphasize a dimensional approach to symptom domains. Inheritance is complex and non-Mendelian, involving a polygenic architecture with contributions from rare copy number variants (e.g., deletions at 22q11.2, conferring a high risk) and de novo mutations. Diagnosis remains clinical, based on criteria outlined in the DSM-5 or ICD-11, requiring the presence of characteristic symptoms for a significant duration with impaired functioning, and is supported by ruling out other medical or substance-induced causes through comprehensive"
Osteoarthritis,D010003,"Osteoarthritis (OA), a progressive degenerative joint disease (5), is characterized by the breakdown of articular cartilage, subchondral bone sclerosis, osteophyte formation, and synovial inflammation (6). While traditionally considered a 'wear-and-tear' disorder, it has a significant genetic component, with heritability estimates of 40-65% for sites like the hip and hand (8); specific associated genes include those encoding structural proteins like *COL2A1* (type II collagen), inflammatory mediators such as *IL1RN* (interleukin-1 receptor antagonist), and signaling molecules like *GDF5* (growth differentiation factor 5) (1). The disease pathophysiology involves dysregulated signaling pathways, most notably the canonical Wnt/β-catenin pathway, where excessive activation in chondrocytes promotes hypertrophic differentiation and matrix degradation, alongside chronic low-grade inflammation driven by cytokines like IL-1β and TNF-α (2). OA is classified into primary (idiopathic) and secondary forms (e.g., post-traumatic or metabolic) (7), and its typical clinical presentation includes joint pain exacerbated by activity, morning stiffness lasting less than 30 minutes, crepitus, and reduced range of motion, most commonly affecting knees, hips, hands, and the spine (6). Diagnosis is primarily clinical and radiographic, based on criteria such as those from the American College of Rheumatology, utilizing patient history, physical examination, and characteristic X-ray findings like joint space narrowing and osteophytes, with advanced imaging (MRI) and synovial fluid analysis used to exclude other arthropathies (9). Common pharmacological management includes analgesics like acetaminophen (central pain modulation), nonsteroidal anti-inflammatory drugs such as ibuprofen (inhibition of cyclooxygenase enzymes to reduce pain and inflammation), and intra-articular corticosteroids (potent local anti-inflammatory effects) (3). OA is frequently linked to comorbidities including obesity (which increases mechanical load and adipokine-driven inflammation), cardiovascular disease, and metabolic syndrome, with potential complications encompassing severe functional disability, joint deformity, and chronic pain syndromes (4)."
"Rhinitis, Allergic",D065631,"Allergic rhinitis is a common IgE-mediated, type I hypersensitivity inflammatory disease of the nasal mucosa, clinically characterized by paroxysmal sneezing, rhinorrhea, nasal pruritus, and congestion, often with associated allergic conjunctivitis. It is broadly categorized into seasonal (often pollen-driven) and perennial (triggered by perennial allergens like dust mites or animal dander) types. While largely considered a complex polygenic disorder influenced by environmental exposures, genetic association studies have implicated variants in genes such as *IL4* and *IL13* (central to Th2 cytokine production), *FCER1A* (encoding the high-affinity IgE receptor alpha chain), and *HLA-DQB1* (involved in allergen antigen presentation). The canonical pathogenic pathway involves allergen sensitization and cross-linking of IgE on mast cells and basophils, leading to degranulation and release of preformed mediators like histamine, followed by a late-phase reaction driven by Th2 lymphocytes and their cytokines (IL-4, IL-5, IL-13), which promote eosinophil recruitment and IgE class switching. Common pharmacological treatments target different nodes in this pathway: second-generation H1-antihistamines (e.g., loratadine, cetirizine) competitively antagonize histamine at H1-receptors to relieve pruritus and sneezing; intranasal corticosteroids (e.g., fluticasone) suppress broad inflammatory gene expression; and leukotriene receptor antagonists (e.g., montelukast) block cysteinyl leukotriene-mediated inflammation and bronchoconstriction. Important comorbidities and complications include asthma, sinusitis, otitis media with effusion, and significant impairment of sleep and quality of life. Diagnosis is primarily clinical, based on a characteristic history and symptom pattern, and is confirmed by allergen-specific testing, most commonly via skin prick tests or serum-specific IgE assays, which identify causative aeroallergens."
